preco,tipo,area,quartos,bairro
1500,1,35,1,4
1500,2,35,1,3
1450,1,35,1,4
1450,2,35,1,2
1449,3,35,1,1
1400,1,35,1,4
1400,1,35,1,19
1400,1,35,1,6
1380,2,35,1,3
1350,1,35,1,1
1350,1,35,1,13
1350,2,35,1,1
1300,1,35,1,1
1300,1,35,1,3
1300,2,35,1,6
1250,1,35,1,3
1250,1,35,1,4
1250,2,35,1,4
1200,1,35,1,1
1200,1,35,1,4
1200,2,35,1,2
1200,2,35,1,3
1150,2,35,1,6
1150,2,35,1,2
1100,1,35,1,4
1100,1,35,1,1
1100,1,35,1,4
1100,1,35,1,8
1100,1,35,1,4
1100,2,35,1,1
1050,1,35,1,1
1000,1,35,1,1
1000,1,35,1,1
1000,1,35,1,6
1000,1,35,1,4
1000,1,35,1,1
1000,2,35,1,2
1000,2,35,1,4
1000,2,35,1,1
1000,2,35,1,4
1000,2,35,1,2
1000,2,35,1,1
950,1,35,1,8
950,2,35,1,2
950,2,35,1,6
950,4,35,1,3
941,1,35,1,26
900,0,35,1,4
900,1,35,1,4
850,1,35,1,8
850,1,35,1,8
850,1,35,1,8
850,1,35,1,1
850,2,35,1,2
815,1,35,1,4
800,1,35,1,14
800,2,35,1,8
800,2,35,1,2
800,2,35,1,1
750,1,35,1,1
750,1,35,1,5
750,2,35,1,6
700,1,35,1,14
700,1,35,1,11
700,2,35,1,1
700,2,35,1,9
700,2,35,1,1
650,2,35,1,1
650,2,35,1,5
650,4,35,1,5
650,4,35,1,5
600,1,35,1,15
600,1,35,1,20
600,1,35,1,15
600,1,35,1,4
600,2,35,1,20
550,1,35,1,9
500,1,35,1,11
500,2,35,1,27
500,2,35,1,9
450,1,35,1,5
450,1,35,1,5
450,2,35,1,10
430,2,35,1,5
430,2,35,1,5
350,4,35,1,28
340,2,35,1,10
2550,1,36,1,1
2100,3,36,1,1
1700,1,36,1,5
1600,1,36,1,2
1500,1,36,1,1
1500,1,36,1,4
1300,1,36,1,1
1300,1,36,1,15
1300,1,36,1,1
1200,1,36,1,4
1200,1,36,1,5
1200,3,36,1,1
1100,1,36,1,1
1100,2,36,1,1
1080,1,36,1,1
1050,1,36,1,4
1000,1,36,1,6
1000,1,36,1,24
1000,1,36,1,4
1000,2,36,1,6
1000,2,36,1,24
1000,2,36,1,4
900,2,36,1,1
850,1,36,1,26
850,2,36,1,1
800,1,36,1,14
800,1,36,1,8
500,1,36,1,9
500,2,36,1,1
450,2,36,1,9
3600,3,37,1,1
3500,1,37,1,1
3000,1,37,1,1
2500,1,37,1,1
2500,1,37,1,1
2500,3,37,1,1
2500,3,37,1,1
2320,3,37,1,1
2300,0,37,1,3
2200,3,37,1,1
2100,1,37,1,1
2000,1,37,1,1
1500,1,37,1,4
1300,1,37,1,2
1300,1,37,1,5
1300,1,37,1,1
1200,1,37,1,4
1200,1,37,1,17
1150,2,37,1,1
1000,1,37,1,4
1000,1,37,1,1
1000,2,37,1,2
980,1,37,1,3
950,2,37,1,2
900,1,37,1,1
850,1,37,1,9
800,1,37,1,5
800,1,37,1,5
800,2,37,1,1
700,1,37,1,10
700,2,37,1,1
680,1,37,1,4
600,1,37,1,18
600,2,37,1,8
3266,1,38,1,3
3000,3,38,1,1
2500,1,38,1,1
2500,3,38,1,1
2400,1,38,1,3
2100,1,38,1,1
1700,3,38,1,1
1680,1,38,1,4
1650,2,38,1,26
1600,1,38,1,13
1400,1,38,1,4
1200,1,38,1,1
1200,2,38,1,16
1100,1,38,1,5
1100,2,38,1,2
1050,1,38,1,4
1050,2,38,1,2
1000,1,38,1,15
1000,1,38,1,20
1000,2,38,1,2
990,2,38,1,1
950,1,38,1,3
950,1,38,1,8
900,2,38,1,1
850,2,38,1,1
850,2,38,1,1
850,2,38,1,8
800,1,38,1,9
680,2,38,1,2
600,1,38,1,8
600,1,38,1,5
600,2,38,1,14
2650,3,39,1,1
1550,1,39,1,4
1500,1,39,1,4
1400,1,39,1,4
1200,1,39,1,1
1200,1,39,1,4
1000,1,39,1,4
1000,2,39,1,18
1000,2,39,1,18
950,2,39,1,1
920,1,39,1,1
920,2,39,1,1
750,1,39,1,15
4000,1,40,1,3
2900,1,40,1,1
2900,1,40,1,1
2800,1,40,1,1
2700,1,40,1,1
2700,3,40,1,1
2500,3,40,1,1
2300,1,40,1,1
2200,1,40,1,2
2200,1,40,1,1
2000,1,40,1,2
2000,1,40,1,1
2000,1,40,1,2
1800,2,40,1,6
1800,2,40,1,2
1750,1,40,1,4
1700,1,40,1,1
1700,1,40,1,3
1700,1,40,1,4
1700,2,40,1,4
1700,3,40,1,2
1600,1,40,1,8
1550,1,40,1,6
1500,1,40,1,2
1500,1,40,1,3
1500,1,40,1,3
1500,1,40,1,4
1500,1,40,1,4
1500,2,40,1,2
1500,2,40,1,4
1500,2,40,1,4
1400,2,40,1,2
1380,2,40,1,1
1350,1,40,1,1
1300,1,40,1,4
1300,1,40,1,1
1250,1,40,1,4
1200,1,40,1,1
1200,1,40,1,4
1200,1,40,1,4
1200,1,40,1,8
1200,1,40,1,1
1200,2,40,1,12
1200,2,40,1,2
1200,2,40,1,1
1200,2,40,1,6
1200,3,40,1,1
1150,2,40,1,2
1100,0,40,1,11
1100,1,40,1,4
1100,1,40,1,4
1100,1,40,1,4
1100,1,40,1,4
1100,2,40,1,1
1000,0,40,1,5
1000,1,40,1,4
1000,1,40,1,1
980,2,40,1,1
900,2,40,1,2
850,1,40,1,11
850,2,40,1,2
800,1,40,1,11
800,2,40,1,16
750,1,40,1,5
750,1,40,1,1
750,1,40,1,8
700,1,40,1,10
700,1,40,1,26
700,2,40,1,20
700,2,40,1,8
690,2,40,1,5
650,1,40,1,10
650,1,40,1,11
650,1,40,1,8
650,2,40,1,1
650,2,40,1,5
600,1,40,1,5
600,1,40,1,15
600,1,40,1,27
600,1,40,1,11
600,4,40,1,14
600,4,40,1,10
600,4,40,1,5
580,2,40,1,1
550,1,40,1,5
550,1,40,1,9
550,1,40,1,11
550,1,40,1,28
550,2,40,1,5
500,1,40,1,19
500,1,40,1,11
500,1,40,1,9
500,1,40,1,11
500,1,40,1,28
450,4,40,1,9
350,4,40,1,5
3100,3,41,1,3
2500,1,41,1,2
1600,1,41,1,1
1600,1,41,1,4
1200,1,41,1,4
1200,1,41,1,4
1100,2,41,1,1
990,1,41,1,1
850,2,41,1,1
750,1,41,1,19
2400,1,42,1,3
2100,1,42,1,8
2100,2,42,1,8
1900,3,42,1,3
1600,1,42,1,1
1600,1,42,1,6
1500,1,42,1,6
1500,1,42,1,6
1500,1,42,1,1
1400,2,42,1,1
1300,1,42,1,4
1200,1,42,1,4
1200,1,42,1,4
1190,1,42,1,6
1100,2,42,1,2
1100,2,42,1,2
1000,1,42,1,4
1000,2,42,1,1
950,1,42,1,1
850,1,42,1,20
1500,1,43,1,6
1300,1,43,1,6
820,1,43,1,1
750,1,43,1,5
600,1,43,1,9
4000,3,44,1,1
3799,3,44,1,1
2700,3,44,1,1
2550,1,44,1,1
2500,3,44,1,17
2000,1,44,1,3
1500,1,44,1,4
1450,1,44,1,6
1300,1,44,1,4
850,1,44,1,20
5200,1,45,1,3
3200,1,45,1,3
2200,1,45,1,1
2000,1,45,1,13
2000,1,45,1,17
2000,1,45,1,13
1962,2,45,1,26
1900,1,45,1,6
1800,1,45,1,3
1700,1,45,1,5
1400,1,45,1,1
1350,1,45,1,6
1290,1,45,1,4
1200,2,45,1,1
1190,1,45,1,3
1100,1,45,1,1
1100,2,45,1,16
1000,1,45,1,1
1000,1,45,1,1
1000,2,45,1,1
850,1,45,1,26
840,1,45,1,9
800,2,45,1,5
750,1,45,1,5
700,4,45,1,10
650,1,45,1,11
650,1,45,1,10
600,4,45,1,28
550,1,45,1,28
450,1,45,1,11
395,2,45,1,10
2140,1,46,1,3
1990,3,46,1,3
1400,1,46,1,5
1300,1,46,1,1
1270,2,46,1,3
800,1,46,1,20
700,2,46,1,4
2100,1,47,1,13
1300,1,47,1,6
1000,1,47,1,4
700,1,47,1,5
700,1,47,1,10
450,2,47,1,5
4200,1,48,1,1
3500,1,48,1,3
3300,1,48,1,3
3200,3,48,1,3
3100,1,48,1,3
3000,1,48,1,3
2700,1,48,1,6
2700,3,48,1,3
2600,1,48,1,3
2500,1,48,1,3
2500,1,48,1,3
2300,1,48,1,1
2300,1,48,1,1
2300,1,48,1,1
2300,1,48,1,3
2300,3,48,1,1
2300,3,48,1,3
2200,1,48,1,1
